"","GasType","LUtype","annualest","N","LinearFlux","sd","se","ci"
"1","CH4","F","F_dry",56,-0.0013955970548692,0.00233385656104427,0.000311874701475076,0.000625010868530986
"2","CH4","F","F_wet",87,-0.000280905175098514,0.00608140898533498,0.000651995480265283,0.00129612411753259
"4","CH4","M","M_dry",71,-0.000654005175492663,0.00147376869865711,0.000174904165998649,0.000348835359671093
"5","CH4","M","M_postfert",110,-0.000286495480521191,0.000730604522584099,6.96604079817575e-05,0.000138064663941623
"6","CH4","M","M_wet",79,-0.000705195062770061,0.00195643500036411,0.000220116134785786,0.000438217561736442
"7","CH4","S","S_dry",51,9.37015801534116e-05,0.00203070306759777,0.000284355306213175,0.000571144441368674
"8","CH4","S","S_wet",39,-0.000467769598289946,0.00535918299160464,0.000858156078349275,0.00173724615673586
"9","CO2","F","F_dry",56,4.62539586419642,1.75221383999594,0.234149423486727,0.469245930648736
"10","CO2","F","F_wet",87,13.5926412294397,4.38610581181693,0.470239901997384,0.934805986319083
"12","CO2","M","M_dry",71,1.39029526037543,0.920418755451771,0.109233609682778,0.21785956500406
"13","CO2","M","M_postfert",110,16.2301620466026,11.9540631375861,1.13977519911682,2.25899739025745
"14","CO2","M","M_wet",79,17.7025960420661,12.5051171176602,1.40693559687424,2.8009936090439
"15","CO2","S","S_dry",51,2.17172751745455,2.0441733447718,0.286241522298488,0.57493301787422
"16","CO2","S","S_wet",39,22.2259960510997,20.2348997786925,3.24017714399299,6.55939570034037
"17","N2O","F","F_dry",56,0.102278725213544,0.757603071501636,0.101238968883097,0.202887427455743
"18","N2O","F","F_wet",87,1.38369101694222,1.81325620753088,0.19440147089663,0.386457333738589
"20","N2O","M","M_dry",71,-0.0509464144215103,0.825943026219001,0.0980214034229835,0.195497524734693
"21","N2O","M","M_postfert",110,2.19507652141468,5.68410302659098,0.541957958927214,1.07414305539768
"22","N2O","M","M_wet",79,0.943461090999259,2.96626082171431,0.333730416150166,0.664406220765863
"23","N2O","S","S_dry",51,0.0861809868241947,0.715545444284227,0.100196403484818,0.201250399219155
"24","N2O","S","S_wet",39,0.811567880947036,1.16535199065974,0.186605662797427,0.377763414720037
