"Site","SampleMonth","SampleType","N","BulkDensity_gcm3","sd","se","ci","wmn","wv","wsd","mn","BulkDensity_gcm3_use","BulkDensity_gcm3_uncertainty_use","SampleType2"
"F1","7.2013","Truth bar hole",1,1.05,NA,NA,NA,NA,NA,NA,NA,1.05,NA,"Truth bar hole"
"F1","11.2014","BD ring",15,1.23266666666667,0.0917657473186612,0.0236938140744969,0.0508181770129804,NA,NA,NA,NA,1.23266666666667,0.0917657473186612,"BD ring"
"F2","7.2013","Truth bar hole",1,1.01,NA,NA,NA,NA,NA,NA,NA,1.01,NA,"Truth bar hole"
"F2","11.2014","BD ring",10,1.322,0.190076008188537,0.0601073114428593,0.135972185117007,NA,NA,NA,NA,1.322,0.190076008188537,"BD ring"
"F3","7.2013","Truth bar hole",1,0.95,NA,NA,NA,NA,NA,NA,NA,0.95,NA,"Truth bar hole"
"F3","11.2014","BD ring",10,1.193,0.077610136794966,0.0245424801789333,0.0555189473296069,NA,NA,NA,NA,1.193,0.077610136794966,"BD ring"
"M1","7.2013","Truth bar hole",1,1.51,NA,NA,NA,NA,NA,NA,NA,1.51,NA,"Truth bar hole"
"M1","11.2014","BD ring",13,1.44846153846154,0.0594202762596172,0.0164802194504835,0.0359073135744449,NA,NA,NA,NA,1.44846153846154,0.0594202762596172,"BD ring"
"M2","7.2013","Truth bar hole",1,1.1,NA,NA,NA,NA,NA,NA,NA,1.1,NA,"Truth bar hole"
"M2","11.2014","BD ring",10,1.325,0.0295334085777822,0.00933928381741459,0.0211269277829698,NA,NA,NA,NA,1.325,0.0295334085777822,"BD ring"
"M3","7.2013","Truth bar hole",1,1.48,NA,NA,NA,NA,NA,NA,NA,1.48,NA,"Truth bar hole"
"M3","11.2014","BD ring",10,1.515,0.0615088069574865,0.0194507926145269,0.0440007498350544,NA,NA,NA,NA,1.515,0.0615088069574865,"BD ring"
"S1","7.2013","Truth bar hole",1,1.55,NA,NA,NA,NA,NA,NA,NA,1.55,NA,"Truth bar hole"
"S1","11.2014","BD ring",9,1.60222222222222,0.0319287401011133,0.0106429133670378,0.0245426022350088,NA,NA,NA,NA,1.60222222222222,0.0319287401011133,"BD ring"
"S2","7.2013","Truth bar hole",1,1.6,NA,NA,NA,NA,NA,NA,NA,1.6,NA,"Truth bar hole"
"S2","11.2014","BD ring",12,1.69166666666667,0.0525414699128799,0.0151674158989099,0.0333832573104387,NA,NA,NA,NA,1.69166666666667,0.0525414699128799,"BD ring"
"S3","7.2013","Truth bar hole",1,1.32,NA,NA,NA,NA,NA,NA,NA,1.32,NA,"Truth bar hole"
"S3","11.2014","BD ring",9,1.33888888888889,0.0401386485959743,0.0133795495319914,0.0308532965479412,NA,NA,NA,NA,1.33888888888889,0.0401386485959743,"BD ring"
"F1","combo","combo",NA,NA,NA,NA,NA,1.22125,0.0166835555555555,0.129164838696743,1.14133333333333,1.22125,0.129164838696743,"combo"
"F2","combo","combo",NA,NA,NA,NA,NA,1.29363636363636,0.048672,0.220617315730203,1.166,1.29363636363636,0.220617315730203,"combo"
"F3","combo","combo",NA,NA,NA,NA,NA,1.17090909090909,0.0295245,0.171826947828331,1.0715,1.17090909090909,0.171826947828331,"combo"
"M1","combo","combo",NA,NA,NA,NA,NA,1.45285714285714,0.00189349112426035,0.0435142634576337,1.47923076923077,1.45285714285714,0.0435142634576337,"combo"
"M2","combo","combo",NA,NA,NA,NA,NA,1.30454545454545,0.0253125,0.159099025766973,1.2125,1.30454545454545,0.159099025766973,"combo"
"M3","combo","combo",NA,NA,NA,NA,NA,1.51181818181818,0.000612500000000005,0.0247487373415293,1.4975,1.51181818181818,0.0247487373415293,"combo"
"S1","combo","combo",NA,NA,NA,NA,NA,1.597,0.00136358024691358,0.0369266874619641,1.57611111111111,1.597,0.0369266874619641,"combo"
"S2","combo","combo",NA,NA,NA,NA,NA,1.68461538461538,0.00420138888888888,0.0648181216087668,1.64583333333333,1.68461538461538,0.0648181216087668,"combo"
"S3","combo","combo",NA,NA,NA,NA,NA,1.337,0.000178395061728396,0.0133564614224126,1.32944444444444,1.337,0.0133564614224126,"combo"
